,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DOD,"40,054","42,591","41,523","41,686","41,487","46,778","52,515","57,136","65,095","72,108","77,193","80,105","79,667","77,474","73,364","69,602","68,948","69,273","61,970","60,402","60,017","61,367","61,150","62,494","62,924","65,751","75,519","88,172","95,769","99,022","101,441","105,024","105,708","104,908","105,824","99,011","91,456","79,046","78,693","77,816","84,413","57,390","68,768","70,647","77,002","72,095","79,108","84,388"
NASA,"14,041","14,082","14,038","14,667","15,514","14,880","11,560","6,601","6,977","8,031","8,223","9,345","9,793","11,888","13,778","15,197","15,593","15,718","16,414","16,163","15,820","15,412","15,871","15,615","14,950","15,211","15,481","15,883","15,688","14,963","15,423","15,396","14,565","11,314","11,823","11,387","13,898","13,266","13,907","13,350","15,390","12,195","12,342","11,684","15,380","12,188","13,865","13,547"
DOE,"12,211","15,414","17,567","17,507","17,070","16,585","13,618","12,466","13,135","13,481","12,219","11,697","12,165","12,562","13,538","13,728","14,843","13,274","11,817","10,963","10,522","10,246","10,337","11,194","10,953","11,896","12,232","12,571","12,652","12,146","11,721","12,009","12,723","13,262","13,832","13,358","13,279","12,910","14,192","16,827","17,401","17,453","19,418","19,955","19,885","17,759","20,085","23,731"
HHS,"10,352","10,664","11,813","11,356","11,262","10,809","9,922","10,550","11,359","12,407","12,468","14,385","15,083","15,994","16,531","17,895","18,578","18,674","19,761","19,680","20,182","21,279","22,530","25,431","28,631","32,375","36,363","41,183","41,416","41,107","39,566","39,374","38,094","39,987","40,539","39,026","38,536","35,943","36,290","35,300","37,173","38,695","41,024","42,003","46,193","42,225","44,706","49,756"
NIH*,"9,004","9,214","9,872","10,365","10,195","9,617","9,310","9,783","10,770","11,872","11,937","13,812","14,456","15,164","15,707","16,794","17,565","17,637","18,278","18,389","19,162","20,134","21,338","24,098","27,139","30,471","34,392","39,253","39,568","39,281","37,888","37,685","37,158","38,305","38,536","37,335","36,860","34,182","34,612","33,630","35,549","37,074","39,389","40,512","44,803","40,775","43,835","48,146"
NSF,"2,661","2,686","2,743","2,696","2,699","2,578","2,454","2,555","2,908","3,200","3,088","3,293","3,316","3,539","3,349","3,542","3,599","3,590","3,914","4,095","4,011","3,995","4,071","4,291","4,615","5,108","5,338","5,838","5,987","5,781","5,712","5,902","5,869","6,138","6,882","6,876","7,008","6,427","6,863","7,007","6,983","6,774","7,078","7,262","6,999","7,515","7,158","8,448"
USDA,"2,061","2,015","2,201","2,304","2,115","2,201","2,091","2,136","2,275","2,260","2,117","2,355","2,334","2,288","2,370","2,603","2,773","2,615","2,667","2,540","2,495","2,565","2,540","2,643","2,796","3,356","3,198","3,483","3,227","3,408","3,330","3,025","3,037","3,138","3,333","2,960","2,863","2,552","2,816","2,871","3,081","2,944","2,914","3,304","3,105","4,099","3,185","3,771"
Interior,"1,293","1,213","1,262","1,319","1,213","1,110",969,935,847,876,845,880,889,963,"1,028","1,160","1,174","1,158","1,235","1,142",957,975,872,802,974,955,944,956,910,875,873,860,890,904,991,948,"1,007",947,995,"1,010","1,128","1,072",971,"1,046","1,084","1,009","1,213","1,443"
DOT,"1,281","1,228","1,297","1,126","1,175","1,097",786,896,"1,140",990,835,666,657,655,685,769,"1,133","1,107","1,118","1,138","1,008","1,009",960,976,956,"1,105","1,178","1,040",965,996,"1,116","1,020","1,140","1,191","1,370","1,194","1,129",986,944,"1,037","1,022","1,050","1,126","1,128","1,138","1,071","1,266","1,856"
EPA,"1,086","1,084","1,317","1,235","1,012","1,010",718,560,579,689,713,743,781,798,821,859,899,886,"1,026",947,810,981,"1,037","1,075",878,883,896,843,961,903,848,740,713,724,761,728,697,638,636,609,595,568,548,536,540,526,483,614
DOC,919,939,977,"1,068","1,059",930,775,784,846,883,871,900,856,857,877,"1,005","1,065","1,415","1,783","1,911","1,663","1,588","1,776","1,741","1,849","1,584","1,857","1,780","1,627","1,581","1,450","1,426","1,547","1,788","1,706","1,523","1,540","1,565","1,837","1,786","1,942","2,046","2,298","2,138","2,035","2,110","2,339","2,332"
DHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,"1,096","1,493","1,748","1,775","1,324","1,296","1,411","1,132",951,591,825,"1,221","1,075",675,825,805,655,554,590,676,681
VA,454,420,399,395,403,428,350,389,459,483,408,481,412,438,423,420,455,451,483,450,441,969,955,"1,035","1,015","1,106","1,145","1,215","1,257","1,045","1,051","1,089","1,153","1,215","1,319","1,452","1,424","1,404","1,302","1,378","1,417","1,534","1,432","1,496","1,419","1,445","1,498","1,655"
Other ,"1,337","1,436","1,387","2,603","2,766","2,158","1,821","1,632","1,588","1,250","1,484","1,650","1,578","1,644","1,961","1,821","2,234","1,882","1,846","1,803","1,503","1,456","1,510","1,539","1,368","1,486","1,552","1,582","1,486","1,461","1,486","1,479","1,389","1,484","1,444","1,267","1,624","2,067","1,898","1,744","1,855","1,741","1,999","1,947","1,200","1,155","1,330","1,260"