Keywords,Sections,Checked?(POC),Comment (if you want)
⿻ Health Agency,6-2,cFQ,not found
⿻ Health Association,6-2,cFQ,not found
⿻ Interaction,6-4,cFQ,not found
⿻ Rule,5-6,cFQ,not found
⿻-goods Financing,6-2,cFQ,not found
⿻istic,"5-4, 5-6",cFQ,"not found (both 5-4, 5-6)"
⿻istic Ignorance,6-3,cFQ,"update view (typo in candidates, in text: pluralistic ignorance)"
Abundance technocracy (AT),4-0,cFQ,not found
"Acemoglu, Daron",2-0,cFQ,update view (in text: Daron Acemoglu)
Aging Simulation,5-1,cFQ,not found
AI Conversation Model,6-4,cFQ,not found
AI Deep Learning,6-4,cFQ,not found
AI GOOGLE NGRAMS CHART,2-0,cFQ,not found
AI-driven Intervention,5-4,cFQ,not found
Ainulindalë,1-1,cFQ,not found
Antiretroviral Therapie,6-2,cFQ,"update view (typo in candidates, in text: antiretroviral therapy)"
Application Ecosystem,6-2,cFQ,not found
Artistic co-creation,5-3,cFQ,"update view (typo in candidates, in text: Artistic cocreation)"
Athena's tapestry,1-1,cFQ,not found
Attention auction,4-0,cFQ,not found
Automated Clearing House(ACH),4-3,cFQ,"update view (typo in candidates, in text: Automated Clearing Houses (ACHs))"
Basic Antigen,6-2,cFQ,not found
Biomedicine,6-2,cFQ,not found
Bridging the Crowd,5-4,cFQ,update view (in text:  “bridging” the crowd)
British Colonial Development Corporation,6-2,cFQ,not found
Catastrophic Risks,2-0,cFQ,not found
Chaotic States,3-1,cFQ,"update view (in text: ""chaotic"" states)"
charter town,3-3,cFQ,not found
Child Mortality,6-2,cFQ,not found
Climate Change Simulations,5-2,cFQ,not found
Climate hazard,6-2,cFQ,not found
Co-construction of Health Agency,6-2,cFQ,confirmed in second paragraph with italic
Co-creation Relationship,6-4,cFQ,"update view (typo in candidates, in text: cocreation relationship)"
Co-decision Making Processe,6-2,cFQ,not found
Co-writing,5-3,cFQ,"update view (typo in candidates, in text: cowriting)"
Collective Response Model,5-4,cFQ,"changed to ""bridging systems"""
Community Notes (CN),5-4,cFQ,"confirmed in ""Augmented Deliberation"" second paragraph"
Competitive authoritarian regimes,4-0,cFQ,"update view (in text: ""competitive authoritarian"" regimes)"
Competitive Effect,6-0,cFQ,"update view (in text: ""competitive"" effect)"
Context for the association,4-2,cFQ,confirmed in fourth paragraph with italic
Cross-Cultural Exchanges,5-2,cFQ,update view (in text: Cross-cultural exchange)
Darkening Clouds,6-2,cFQ,not found
"De Tocqueville, Alexis",4-2,cFQ,update view (in text: Alexis De Toqueville)
Decentralized Social Networking Protocol (DSNP),4-2,cFQ,update view (in text: Decentralized Social Networking Protocol)
Defense Advanced Research Projects Agency,2-0,cFQ,not found
Digital Democracy Initiative,1-1,cFQ,not found
Digital Legacy Realms,5-2,cFQ,"not found (in ""Frontiers of immersive shared reality"", has ""Digital legacies"")"
Digital literacy,7-0,cFQ,not found
Digital Realpolitik,2-0,cFQ,not found
Direct Thought Transmission,5-1,cFQ,not found
Distributed Ledger Technology (DLT),4-2,cFQ,update view (in text: distributed ledger technologies (DLTs))
Diversification of Seeing,6-0,cFQ,not found
Emotion Tracking,5-1,cFQ,not found
Empathetic Technology,5-1,cFQ,not found
Entrepreneurial Sovereignty (ES),4-0,cFQ,not found
Ethereum Attestation Service,6-2,cFQ,not found
Extreme underinvestment,6-2,cFQ,not found
Fabric of Trust,1-1,cFQ,not found
FIDES,6-2,cFQ,not found
Formal Identity,4-1,cFQ,not found
Ganga River,6-4,cFQ,"update view (typo in candidates, in text: Ganga)"
Globarization,1-1,cFQ,"update view (typo in candidates, in text: Globalization)"
Good Old-fashioned AI (GOFAI),5-5,cFQ,"update view (in text:  ""good old-fashioned AI"" (GOFAI))"
Health Objectivism,6-2,cFQ,not found
Hunter-gatherer Model,6-0,cFQ,"update view (in text: ""hunter-gatherer"" model)"
HyperCerts,6-2,cFQ,not found
Immersive Education,5-2,cFQ,"not found (in ""Frontiers of immersive shared reality"", has ""Immersive learning"")"
Immersive Shared Reality Campuse,6-1,cFQ,not found
Impact-investing,6-2,cFQ,not found
Independent Stake,6-2,cFQ,not found
individuality loss,5-1,cFQ,not found
Industry 1.0,2-0,nishio,not found
Industry 2.0,2-0,nishio,not found
Industry 3.0,2-0,nishio,not found
Industry 4.0,2-0,nishio,not found
Inter-species Communication,5-2,cFQ,"not found (in ""Frontiers of immersive shared reality"", has ""Inter-specific communication platform"")"
International Telecommunication Union (ITU),4-5,cFQ,"confirmed in ""Bridging the digital divide"" with included links"
Internet Corporation for Assigned Names and Numbers (ICANN),4-4,cFQ,"confirmed in ""⿻ real property"" with included links"
Interplanetary File System (IPFS),4-4,cFQ,"confirmed in ""The state of sharing"" with included links"
Intersectional Identity,3-2,cFQ,update view (in text: “intersectional” theory of identity)
J.R.R. Tolkien,1-1,cFQ,not found
"Jefferson, Thomas",2-0,cFQ,update view (in text: Thomas Jefferson)
"Jobs, Steve",6-1,cFQ,update view (in text: Steve Jobs)
Kela-Kelpo project,5-5,cFQ,"confirmed in ""Adaptive administration tomorrow"" with included links"
Left-right Divide,5-4,cFQ,"update view (in text: ""left-right"" divide)"
LLM-based Representative,5-4,cFQ,"changed to ""GFM-based representatives"""
Local ⿻ Communities,7-1,cFQ,"confirmed in ""Intermediate horizon"""
m-health,6-2,cFQ,not found
Millennium Development Declaration,6-2,cFQ,not found
Monolithic Threat,2-0,cFQ,not found
National Socialist German Workers party,4-0,cFQ,update view (in text: National Socialist German Workers (Nazi) party)
North Atlantic Treaty Organization,2-0,cFQ,not found
Objectivist Model,6-2,cFQ,not found
Online collaboration platform,5-3,cFQ,update view (in text: Online collaboration)
Open Recognition Community,3-3,cFQ,not found
Open Source Observer,6-2,cFQ,not found
Open-source Technology,5-3,cFQ,update view (in text: open-source technologies)
Orderly States,3-1,cFQ,"update view (in text: ""orderly"" states)"
Organizational Chart,6-1,cFQ,not found
Out-of-pocket Payment,6-2,cFQ,not found
Page Rank,5-6,cFQ,"update view (typo in candidates, in text: Pagerank)"
Pigouvian Taxes,5-7,cFQ,"update view (in text: ""Pigouvian"" taxes)"
Pixar's headquarters,6-1,cFQ,"confirmed in ""Designing inclusive campuses"" with included links"
Plural Future,1-1,cFQ,not found
Plural workplace,6-1,cFQ,not found
Populist Movement,5-7,cFQ,"confirmed in ""Capitalism today"" with included links"
Proprioceptive Communication,5-1,cFQ,not found
Protocol Labs (PL),4-4,cFQ,"confirmed in ""The state of sharing"" with included links"
Public Data Repositories,4-1,cFQ,"update view (in text: ""public"" data repositories)"
Public Welfare Shcemes,5-7,cFQ,"update view (typo in candidates, in text: public welfare schemes)"
Pythagoras,1-1,cFQ,not found
Regenerative Economies,5-0,cFQ,not found
Regenerative Plurality,5-0,cFQ,not found
Replenishment Round,6-2,cFQ,not found
"Robinson, James",2-0,cFQ,update view (in text: James A. Robinson)
Secure Multi-Party Computation (SMPC),4-2,cFQ,"confirmed in ""Protecting context"" with included links"
Sensory Degradation,5-1,cFQ,not found
"Simon, Herbert",4-2,cFQ,update view (in text: Herbert Simon)
Siraya language,2-1,cFQ,"not found (""Place of convergence"" english:the indigenous word, mandarin:西拉雅語「)"
"Snowden, Edward",4-2,cFQ,update view (in text: Edward Snowden)
Social Dynamics,3-2,cFQ,"update view(typo in candidates, in text: Social Dynamism)"
Social Solidarity,6-2,cFQ,not found
Sprightly,4-2,cFQ,not found
Strava model,6-2,cFQ,not found
Structured Communication,5-1,cFQ,not found
Sub-Saharan Africa,6-2,cFQ,not found
Surveillance Risks,5-1,cFQ,not found
Target Population,6-2,cFQ,not found
Technocratic Narrative,2-0,cFQ,not found
Tensions between technology and democracy,4-0,cFQ,not found
the Optimism Collective,6-2,cFQ,not found
The Parliament of Things,5-4,cFQ,"update view (typo in candidates, in text: parliament of things)"
Transculturalism,1-1,cFQ,not found
Transnational ⿻ Society,7-0,cFQ,not found
UN-Water,6-2,cFQ,not found
Unforgeable and undeniable signatures,4-2,cFQ,"confirmed in ""Protecting context"" with included links"
Uniform Resource Locator (URL),4-4,cFQ,update view (in text:Uniform Resource Locator/URLs)
Unstructured Communication,5-1,cFQ,not found
Urgency of innovation leadership,2-0,cFQ,not found
USAID,6-2,cFQ,not found
Virtual Civic Spaces,5-2,cFQ,"not found (in ""Frontiers of immersive shared reality"", has ""Civic Spaces"")"
VR Therapy,5-2,cFQ,"not found (in ""Frontiers of immersive shared reality"", has ""Therapy"")"
Vulcan philosophy,5-0,cFQ,not found
Wave of ⿻,6-3,cFQ,not found
WEIRD societies,3-3,nishio,"update view (in text: ""WEIRD"" (Western Educated Industrialized Rich Democratic))"
Whanganui River,6-4,cFQ,"update view (typo in candidates, in text: Whanganui)"
Wikimedia Foundations,7-0,cFQ,"confirmed in ""A new ⿻ order"""
Wised Democracy Pattern Language,5-4,cFQ,not found (moved footnote12)
World Food Programme,6-2,cFQ,not found
"World Trade Organization,",5-7,cFQ,"confirmed in ""Capitalism today"" with included links, in text: World Trade Organization"
WWII,2-1,cFQ,not found
Yamuna River,6-4,cFQ,"confirmed in ""Conversations with nature"" with included links"